A    AX 
levantados   L E V A~ T A+ D UX S 
levantam     L E V A~+ T A~+ W~ 
levantamento     L E V A~ T A M E~+ T UX 
levantando   L E V A~ T A~+ D UX 
levantar     L E V A~ T A+ RR 
levantaram   L E V A~ T A+ R A~+ W~ 
levantava    L E V A~ T A+ V AX 
levante  L E V A~+ TJ IX 
levantem     L E V A~+ T E~ I~ 
levantou     L E V A~ T O+ 
levar    L E V A+ RR 
levaram  L E V A+ R A~+ W~ 
levaria  L E V A R I+ AX 
levará   L E V A R A+ 
levarão  L E V A R A~+ W~ 
levasse  L E V A+ S IX 
levava   L E V A+ V AX 
levavam  L E V A+ V A~+ W~ 
leve     L E+ V IX 
levei    L E V E+ IX 
levem    L E+ V E~ I~ 
levemente    L E V E M E~+ TJ IX 
leves    L E+ V IX S 
levo     L E+ V UX 
levou    L E V O+ 
levá     L E V A+ 
leão     L E A~+ W~ 
leões    L E O~+ I~ S 
lhe  LJ E+ 
lhes     LJ E+ S 
li   L I+ 
lia  L I+ AX 
liam     L I+ A~+ W~ 
libanesas    L I B A N E+ Z AX S 
libaneses    L I B A N E+ Z IX S 
libanês  L I B A N E+ S 
libera   L I B E+ R AX 
liberada     L I B E R A+ D AX 
liberadas    L I B E R A+ D AX S 
liberado     L I B E R A+ D UX 
liberados    L I B E R A+ D UX S 
liberais     L I B E R A+ IX S 
liberal  L I B E R A+ W 
liberalização    L I B E R A L I Z A S A~+ W~ 
liberando    L I B E R A~+ D UX 
liberar  L I B E R A+ RR 
liberaram    L I B E R A+ R A~+ W~ 
liberação    L I B E R A S A~+ W~ 
liberdade    L I B E RR D A+ DJ IX 
liberdades   L I B E RR D A+ DJ IX S 
liberou  L I B E R O+ 
liberta  L I B E+ RR T AX 
libertada    L I B E RR T A+ D AX 
libertadas   L I B E RR T A+ D AX S 
libertado    L I B E RR T A+ D UX 
libertadores     L I B E RR T A D O+ R IX S 
libertados   L I B E RR T A+ D UX S 
libertando   L I B E RR T A~+ D UX 
libertar     L I B E RR T A+ RR 
libertação   L I B E RR T A S A~+ W~ 
liberte  L I B E+ RR TJ IX 
libertou     L I B E RR T O+ 
libra    L I+ B R AX 
libras   L I+ B R AX S 
libreto  L I B R E+ T UX 
liceu    L I S E+ UX 
licitação    L I S I T A S A~+ W~ 
licor    L I K O+ RR 
lida     L I+ D AX 
lidando  L I D A~+ D UX 
lidar    L I D A+ RR 
lidas    L I+ D AX S 
lidera   L I D E+ R AX 
liderado     L I D E R A+ D UX 
liderados    L I D E R A+ D UX S 
liderança    L I D E R A~+ S AX 
lideranças   L I D E R A~+ S AX S 
liderar  L I D E R A+ RR 
lideraram    L I D E R A+ R A~+ W~ 
liderava     L I D E R A+ V AX 
liderou  L I D E R O+ 
lido     L I+ D UX 
lies     L I+ IX S 
liga     L I+ G AX 
ligada   L I G A+ D AX 
ligadas  L I G A+ D AX S 
ligado   L I G A+ D UX 
ligados  L I G A+ D UX S 
ligamento    L I G A M E~+ T UX 
ligar    L I G A+ RR 
ligas    L I+ G AX S 
ligava   L I G A+ V AX 
ligação  L I G A S A~+ W~ 
ligações     L I G A S O~+ I~ S 
ligeira  L I Z E+ I R AX 
ligeiramente     L I Z E I R A M E~+ TJ IX 
ligeiro  L I Z E+ I R UX 
ligeiros     L I Z E+ I R UX S 
light    L I+ G TJ IX 
ligou    L I G O+ 
liminar  L I M I N A+ RR 
limita   L I M I+ T AX 
limitada     L I M I T A+ D AX 
limitado     L I M I T A+ D UX 
limitados    L I M I T A+ D UX S 
limitam  L I M I+ T A~+ W~ 
limitando    L I M I T A~+ D UX 
limitar  L I M I T A+ RR 
limitações   L I M I T A S O~+ I~ S 
limite   L I M I+ TJ IX 
limites  L I M I+ TJ IX S 
limitou  L I M I T O+ 
limpa    L I~+ P AX 
limpam   L I~+ P A~+ W~ 
limpar   L I~ P A+ RR 
limpas   L I~+ P AX S 
limpava  L I~ P A+ V AX 
limpeza  L I~ P E+ Z AX 
limpo    L I~+ P UX 
limão    L I M A~+ W~ 
lindo    L I~+ D UX 
line     L I+ N IX 
linear   L I N E A+ RR 
linfoma  L I~ F O+ M AX 
linguagem    L I~ G U A+ Z E~ I~ 
linha    L I+ NJ AX 
linhagem     L I NJ A+ Z E~ I~ 
linhas   L I+ NJ AX S 
lipídios     L I P I+ DJ I UX S 
liquidados   L I K I D A+ D UX S 
liquidação   L I K I D A S A~+ W~ 
liquidez     L I K I D E+ S 
lira     L I+ R AX 
liso     L I+ Z UX 
lisos    L I+ Z UX S 
lista    L I+ S T AX 
listas   L I+ S T AX S 
listras  L I+ S T R AX S 
literal  L I T E R A+ W 
literalmente     L I T E R A W M E~+ TJ IX 
literatura   L I T E R A T U+ R AX 
literária    L I T E R A+ R I AX 
literário    L I T E R A+ R I UX 
litoral  L I T O R A+ W 
litros   L I+ T R UX S 
livrar   L I V R A+ RR 
livraria     L I V R A R I+ AX 
livrarias    L I V R A R I+ AX S 
livre    L I+ V R IX 
livremente   L I V R E M E~+ TJ IX 
livres   L I+ V R IX S 
livro    L I+ V R UX 
livros   L I+ V R UX S 
livrou   L I V R O+ 
lixo     L I+ SCH UX 
lição    L I S A~+ W~ 
lições   L I S O~+ I~ S 
lo   L O+ 
lobby    L O B I+ 
loca     L O+ K AX 
locais   L O K A+ IX S 
local    L O K A+ W 
localidade   L O K A L I D A+ DJ IX 
localidades  L O K A L I D A+ DJ IX S 
localiza     L O K A L I+ Z AX 
localizada   L O K A L I Z A+ D AX 
localizadas  L O K A L I Z A+ D AX S 
localizado   L O K A L I Z A+ D UX 
localizados  L O K A L I Z A+ D UX S 
localizar    L O K A L I Z A+ RR 
localizaram  L O K A L I Z A+ R A~+ W~ 
localizou    L O K A L I Z O+ 
localmente   L O K A W M E~+ TJ IX 
loco     L O+ K UX 
locomotiva   L O K O M O TJ I+ V AX 
locomotivas  L O K O M O TJ I+ V AX S 
locutor  L O K U T O+ RR 
lodo     L O+ D UX 
logicamente  L O Z I K A M E~+ TJ IX 
logo     L O+ G UX 
logotipos    L O G O TJ I+ P UX S 
logística    L O Z I+ S TJ I K AX 
logísticas   L O Z I+ S TJ I K AX S 
logístico    L O Z I+ S TJ I K UX 
loja     L O+ Z AX 
lojas    L O+ Z AX S 
lojistas     L O Z I+ S T AX S 
lona     L O+ N AX 
londrina     L O~ D R I+ N AX 
londrino     L O~ D R I+ N UX 
londrinos    L O~ D R I+ N UX S 
longa    L O~+ G AX 
longa-metragem   L O~ G A M E T R A+ Z E~ I~ 
longas   L O~+ G AX S 
longe    L O~+ Z IX 
longevidade  L O~ Z E V I D A+ DJ IX 
longo    L O~+ G UX 
longos   L O~+ G UX S 
longínquas   L O~ Z I+ N K U AX S 
look     L O O+ K 
los  L O+ S 
lotado   L O T A+ D UX 
lotados  L O T A+ D UX S 
lote     L O+ TJ IX 
loteria  L O T E R I+ AX 
lotes    L O+ TJ IX S 
louca    L O+ K AX 
louco    L O+ K UX 
loucos   L O+ K UX S 
loucura  L O K U+ R AX 
loura    L O+ R AX 
louras   L O+ R AX S 
louro    L O+ R UX 
louros   L O+ R UX S 
louvor   L O V O+ RR 
louvável     L O V A+ V E W 
luar     L U A+ RR 
luas     L U+ AX S 
lucrativo    L U K R A TJ I+ V UX 
lucrativos   L U K R A TJ I+ V UX S 
lucro    L U+ K R UX 
lucros   L U+ K R UX S 
lugar    L U G A+ RR 
lugares  L U G A+ R IX S 
luminosa     L U M I N O+ Z AX 
luminosas    L U M I N O+ Z AX S 
luminosidade     L U M I N O Z I D A+ DJ IX 
luminosos    L U M I N O+ Z UX S 
luta     L U+ T AX 
lutador  L U T A D O+ RR 
lutadores    L U T A D O+ R IX S 
lutam    L U+ T A~+ W~ 
lutando  L U T A~+ D UX 
lutar    L U T A+ RR 
lutaram  L U T A+ R A~+ W~ 
lutas    L U+ T AX S 
lutava   L U T A+ V AX 
luto     L U+ T UX 
lutou    L U T O+ 
luva     L U+ V AX 
luvas    L U+ V AX S 
luxo     L U+ SCH UX 
luxuoso  L U SCH U O+ Z UX 
luxuosos     L U SCH U O+ Z UX S 
luz  L U+ S 
luzes    L U+ Z IX S 
lá   L A+ 
lábio    L A+ B I UX 
lábios   L A+ B I UX S 
lágrima  L A+ G R I M AX 
lágrimas     L A+ G R I M AX S 
lápis    L A+ P IX S 
lâmina   L A~+ M I N AX 
lâminas  L A~+ M I N AX S 
lâmpadas     L A~+ P A D AX S 
lã   L A~+ 
léguas   L E+ G U AX S 
lésbica  L E+ Z B I K AX 
lê   L E+ 
lêem     L E+ E~ I~ 
líbia    L I+ B I AX 
líbios   L I+ B I UX S 
lícito   L I+ S I T UX 
líder    L I+ D E RR 
líderes  L I+ D E R IX S 
língua   L I+ N G U AX 
línguas  L I+ N G U AX S 
líquida  L I+ K I D AX 
líquido  L I+ K I D UX 
líquidos     L I+ K I D UX S 
lógica   L O+ Z I K AX 
lógicas  L O+ Z I K AX S 
lógico   L O+ Z I K UX 
lúcida   L U+ S I D AX 
lúcido   L U+ S I D UX 
lúgubre  L U+ G U B R IX 
m    M 
ma   M A+ 
macaco   M A K A+ K UX 
macacos  M A K A+ K UX S 
machismo     M A SCH I+ Z M UX 
machista     M A SCH I+ S T AX 
machistas    M A SCH I+ S T AX S 
macho    M A+ SCH UX 
machos   M A+ SCH UX S 
machucado    M A SCH U K A+ D UX 
machucados   M A SCH U K A+ D UX S 
machucou     M A SCH U K O+ 
maconha  M A K O+ NJ AX 
macro    M A+ K R UX 
madeira  M A D E+ I R AX 
madeiras     M A D E+ I R AX S 
madre    M A+ D R IX 
madrinha     M A D R I+ NJ AX 
madrugada    M A D R U G A+ D AX 
madura   M A D U+ R AX 
maduras  M A D U+ R AX S 
maduro   M A D U+ R UX 
maduros  M A D U+ R UX S 
maestria     M A E S T R I+ AX 
maestro  M A E+ S T R UX 
mafia    M A F I+ AX 
mafioso  M A F I O+ Z UX 
magia    M A Z I+ AX 
magistrada   M A Z I S T R A+ D AX 
magistrado   M A Z I S T R A+ D UX 
magistrados  M A Z I S T R A+ D UX S 
magistratura     M A Z I S T R A T U+ R AX 
magnata  M A G N A+ T AX 
magnitude    M A G N I T U+ DJ IX 
magnésio     M A G N E+ Z I UX 
magnética    M A G N E+ TJ I K AX 
magnético    M A G N E+ TJ I K UX 
magnífica    M A G N I+ F I K AX 
magnífico    M A G N I+ F I K UX 
mago     M A+ G UX 
magra    M A+ G R AX 
magro    M A+ G R UX 
magros   M A+ G R UX S 
mai  M A+ IX 
mail     M A I+ W 
maio     M A+ I UX 
maior    M A I O+ RR 
maiores  M A I O+ R IX S 
maioria  M A I O R I+ AX 
maiorias     M A I O R I+ AX S 
mais     M A+ IX S 
majestosa    M A Z E S T O+ Z AX 
major    M A Z O+ RR 
majoritariamente     M A Z O R I T A R I A M E~+ TJ IX 
mal  M A+ W 
mala     M A+ L AX 
malandro     M A L A~+ D R UX 
malas    M A+ L AX S 
maldade  M A W D A+ DJ IX 
maldita  M A W DJ I+ T AX 
maldito  M A W DJ I+ T UX 
males    M A+ L IX S 
malfeitores  M A W F E I T O+ R IX S 
maligno  M A L I+ G N UX 
malignos     M A L I+ G N UX S 
malo     M A+ L UX 
maltratado   M A W T R A T A+ D UX 
maltratar    M A W T R A T A+ RR 
maltês   M A W T E+ S 
maluco   M A L U+ K UX 
malvado  M A W V A+ D UX 
malária  M A L A+ R I AX 
malásia  M A L A+ Z I AX 
malícia  M A L I+ S I AX 
mama     M A~+ M AX 
mamona   M A M O+ N AX 
mamãe    M A M A~+ I~ 
mamífero     M A M I+ F E R UX 
mamíferos    M A M I+ F E R UX S 
manager  M A N A+ Z E RR 
manchada     M A~ SCH A+ D AX 
manchado     M A~ SCH A+ D UX 
manchas  M A~+ SCH AX S 
manchete     M A~ SCH E+ TJ IX 
manchetes    M A~ SCH E+ TJ IX S 
manda    M A~+ D AX 
mandado  M A~ D A+ D UX 
mandados     M A~ D A+ D UX S 
mandam   M A~+ D A~+ W~ 
mandamento   M A~ D A M E~+ T UX 
mandando     M A~ D A~+ D UX 
mandar   M A~ D A+ RR 
mandaram     M A~ D A+ R A~+ W~ 
mandato  M A~ D A+ T UX 
mandatos     M A~ D A+ T UX S 
mandatário   M A~ D A T A+ R I UX 
mandava  M A~ D A+ V AX 
mande    M A~+ DJ IX 
mandei   M A~ D E+ IX 
mandioca     M A~ DJ I O+ K AX 
mando    M A~+ D UX 
mandou   M A~ D O+ 
mandíbula    M A~ DJ I+ B U L AX 
maneira  M A N E+ I R AX 
maneiras     M A N E+ I R AX S 
manequim     M A N E K I~+ 
manga    M A~+ G AX 
mangas   M A~+ G AX S 
mangueira    M A~ G E+ I R AX 
mangueiras   M A~ G E+ I R AX S 
manhã    M A~ NJ A~+ 
manhãs   M A~ NJ A~+ S 
mania    M A N I+ AX 
manifestada  M A N I F E S T A+ D AX 
manifestado  M A N I F E S T A+ D UX 
manifestam   M A N I F E+ S T A~+ W~ 
manifestantes    M A N I F E S T A~+ TJ IX S 
manifestar   M A N I F E S T A+ RR 
manifestaram     M A N I F E S T A+ R A~+ W~ 
manifestavam     M A N I F E S T A+ V A~+ W~ 
manifestação     M A N I F E S T A S A~+ W~ 
manifestações    M A N I F E S T A S O~+ I~ S 
manifesto    M A N I F E+ S T UX 
manifestou   M A N I F E S T O+ 
manipulador  M A N I P U L A D O+ RR 
manipulados  M A N I P U L A+ D UX S 
manipulação  M A N I P U L A S A~+ W~ 
mano     M A~+ N UX 
manobra  M A N O+ B R AX 
manso    M A~+ S UX 
mansão   M A~ S A~+ W~ 
manteiga     M A~ T E+ I G AX 
mantem   M A~+ T E~ I~ 
mantendo     M A~ T E~+ D UX 
mantenha     M A~ T E+ NJ AX 
mantenham    M A~ T E+ NJ A~+ W~ 
manter   M A~+ T E RR 
manterem     M A~ T E+ R E~ I~ 
manteria     M A~ T E R I+ AX 
manterá  M A~ T E R A+ 
manteve  M A~ T E+ V IX 
mantida  M A~ TJ I+ D AX 
mantido  M A~ TJ I+ D UX 
mantidos     M A~ TJ I+ D UX S 
mantinha     M A~ TJ I+ NJ AX 
mantivemos   M A~ TJ I V E+ M UX S 
mantiveram   M A~ TJ I V E+ R A~+ W~ 
mantivessem  M A~ TJ I V E+ S E~ I~ 
manto    M A~+ T UX 
mantém   M A~ T E~+ I~ 
mantê-lo     M A~ T E+ L UX 
mantê-los    M A~ T E+ L UX S 
mantêm   M A~ T E~+ I~ 
manuais  M A N U A+ IX S 
manual   M A N U A+ W 
manualmente  M A N U A W M E~+ TJ IX 
manufaturados    M A N U F A T U R A+ D UX S 
manufaturas  M A N U F A T U+ R AX S 
manufatureira    M A N U F A T U R E+ I R AX 
manuscrito   M A N U S K R I+ T UX 
manuscritos  M A N U S K R I+ T UX S 
manutenção   M A N U T E~ S A~+ W~ 
mapa     M A+ P AX 
mapas    M A+ P AX S 
maquiagem    M A K I A+ Z E~ I~ 
maquiagens   M A K I A Z E~+ S 
mar  M A+ RR 
marasmo  M A R A+ Z M UX 
maratona     M A R A T O+ N AX 
maravilha    M A R A V I+ LJ AX 
maravilhas   M A R A V I+ LJ AX S 
maravilhosa  M A R A V I LJ O+ Z AX 
maravilhosamente     M A R A V I LJ O Z A M E~+ TJ IX 
maravilhosas     M A R A V I LJ O+ Z AX S 
maravilhoso  M A R A V I LJ O+ Z UX 
maravilhosos     M A R A V I LJ O+ Z UX S 
marca    M A+ RR K AX 
marcada  M A RR K A+ D AX 
marcadas     M A RR K A+ D AX S 
marcado  M A RR K A+ D UX 
marcados     M A RR K A+ D UX S 
marcam   M A+ RR K A~+ W~ 
marcando     M A RR K A~+ D UX 
marcante     M A RR K A~+ TJ IX 
marcantes    M A RR K A~+ TJ IX S 
marcar   M A RR K A+ RR 
marcaram     M A RR K A+ R A~+ W~ 
marcas   M A+ RR K AX S 
marcava  M A RR K A+ V AX 
marcha   M A+ RR SCH AX 
marchar  M A RR SCH A+ RR 
marchas  M A+ RR SCH AX S 
marciais     M A RR S I A+ IX S 
marco    M A+ RR K UX 
marcos   M A+ RR K UX S 
marcou   M A RR K O+ 
marechal     M A R E SCH A+ W 
margem   M A+ RR Z E~ I~ 
margens  M A RR Z E~+ S 
marginal     M A RR Z I N A+ W 
marido   M A R I+ D UX 
marinheiro   M A R I NJ E+ I R UX 
marinheiros  M A R I NJ E+ I R UX S 
marinhos     M A R I+ NJ UX S 
marketing    M A RR K E TJ I~+ G IX 
marrom   M A RR O~+ W~ 
marroquina   M A RR O K I+ N AX 
marroquino   M A RR O K I+ N UX 
martelo  M A RR T E+ L UX 
martírio     M A RR TJ I+ R I UX 
marxismo     M A RR SCH I+ Z M UX 
marxista     M A RR SCH I+ S T AX 
março    M A+ RR S UX 
maré     M A R E+ 
marítimo     M A R I+ TJ I M UX 
mas  M A+ S 
mascarado    M A S K A R A+ D UX 
masculina    M A S K U L I+ N AX 
masculinas   M A S K U L I+ N AX S 
masculino    M A S K U L I+ N UX 
masculinos   M A S K U L I+ N UX S 
massa    M A+ S AX 
massacrados  M A S A K R A+ D UX S 
massacrar    M A S A K R A+ RR 
massacre     M A S A+ K R IX 
massacres    M A S A+ K R IX S 
massagem     M A S A+ Z E~ I~ 
massas   M A+ S AX S 
massiva  M A S I+ V AX 
mata     M A+ T AX 
matado   M A T A+ D UX 
matam    M A+ T A~+ W~ 
matando  M A T A~+ D UX 
matar    M A T A+ RR 
mataram  M A T A+ R A~+ W~ 
matas    M A+ T AX S 
matava   M A T A+ V AX 
matematicamente  M A T E M A TJ I K A M E~+ TJ IX 
matemática   M A T E M A+ TJ I K AX 
matemático   M A T E M A+ TJ I K UX 
materiais    M A T E R I A+ IX S 
material     M A T E R I A+ W 
materializar     M A T E R I A L I Z A+ RR 
materna  M A T E+ RR N AX 
maternal     M A T E RR N A+ W 
maternas     M A T E+ RR N AX S 
maternidade  M A T E RR N I D A+ DJ IX 
maternidades     M A T E RR N I D A+ DJ IX S 
materno  M A T E+ RR N UX 
maternos     M A T E+ RR N UX S 
matinais     M A TJ I N A+ IX S 
matinal  M A TJ I N A+ W 
mato     M A+ T UX 
matou    M A T O+ 
matriz   M A T R I+ S 
matrizes     M A T R I+ Z IX S 
matrícula    M A T R I+ K U L AX 
maturidade   M A T U R I D A+ DJ IX 
matutino     M A T U TJ I+ N UX 
matéria  M A T E+ R I AX 
matérias     M A T E+ R I AX S 
mau  M A+ UX 
maus     M A+ UX S 
mausoléu     M A U Z O L E+ UX 
maço     M A S UX 
mc   M K IX 
me   M E+ 
meados   M E A+ D UX S 
mecanismo    M E K A N I+ Z M UX 
mecanismos   M E K A N I+ Z M UX S 
mecenas  M E S E+ N AX S 
mecha    M E+ SCH AX 
mecânica     M E K A~+ N I K AX 
mecânico     M E K A~+ N I K UX 
mecânicos    M E K A~+ N I K UX S 
medalha  M E D A+ LJ AX 
medalhas     M E D A+ LJ AX S 
mede     M E+ DJ IX 
medem    M E+ D E~ I~ 
media    M E DJ I+ AX 
mediador     M E DJ I A D O+ RR 
mediadores   M E DJ I A D O+ R IX S 
mediante     M E DJ I A~+ TJ IX 
medias   M E DJ I+ AX S 
medicamente  M E DJ I K A M E~+ TJ IX 
medicamento  M E DJ I K A M E~+ T UX 
medicamentos     M E DJ I K A M E~+ T UX S 
medicina     M E DJ I S I+ N AX 
medicinais   M E DJ I S I N A+ IX S 
medicinal    M E DJ I S I N A+ W 
medida   M E DJ I+ D AX 
medidas  M E DJ I+ D AX S 
medido   M E DJ I+ D UX 
medievais    M E DJ I E V A+ IX S 
medindo  M E DJ I~+ D UX 
mediocridade     M E DJ I O K R I D A+ DJ IX 
medir    M E DJ I+ RR 
meditar  M E DJ I T A+ RR 
mediterrânea     M E DJ I T E RR A~+ N I AX 
medo     M E+ D UX 
medos    M E+ D UX S 
medula   M E D U+ L AX 
medíocre     M E DJ I+ O K R IX 
medíocres    M E DJ I+ O K R IX S 
mega     M E+ G AX 
megawatt     M E G A V A+ TJ IX 
meia     M E+ I AX 
meias    M E+ I AX S 
meio     M E+ I UX 
meios    M E+ I UX S 
melancolia   M E L A~ K O L I+ AX 
melancólica  M E L A~ K O+ L I K AX 
melhor   M E LJ O+ RR 
melhora  M E LJ O+ R AX 
melhoram     M E LJ O+ R A~+ W~ 
melhoramento     M E LJ O R A M E~+ T UX 
melhorando   M E LJ O R A~+ D UX 
melhorar     M E LJ O R A+ RR 
melhoraram   M E LJ O R A+ R A~+ W~ 
melhoras     M E LJ O+ R AX S 
melhore  M E LJ O+ R IX 
melhorem     M E LJ O+ R E~ I~ 
melhores     M E LJ O+ R IX S 
melhoria     M E LJ O R I+ AX 
melhorias    M E LJ O R I+ AX S 
melhorou     M E LJ O R O+ 
melodia  M E L O DJ I+ AX 
melodias     M E L O DJ I+ AX S 
melodrama    M E L O D R A~+ M AX 
membrana     M E~ B R A~+ N AX 
membranas    M E~ B R A~+ N AX S 
membro   M E~+ B R UX 
membros  M E~+ B R UX S 
memorial     M E M O R I A+ W 
memoráveis   M E M O R A+ V E IX S 
memorável    M E M O R A+ V E W 
memória  M E M O+ R I AX 
memórias     M E M O+ R I AX S 
mencionada   M E~ S I O N A+ D AX 
mencionados  M E~ S I O N A+ D UX S 
mencionando  M E~ S I O N A~+ D UX 
mencionar    M E~ S I O N A+ RR 
mencionou    M E~ S I O N O+ 
menina   M E N I+ N AX 
meninada     M E N I N A+ D AX 
meninas  M E N I+ N AX S 
meningite    M E N I~ Z I+ TJ IX 
menino   M E N I+ N UX 
meninos  M E N I+ N UX S 
menor    M E N O+ RR 
menores  M E N O+ R IX S 
menos    M E+ N UX S 
mensageiro   M E~ S A Z E+ I R UX 
mensagem     M E~ S A+ Z E~ I~ 
mensagens    M E~ S A Z E~+ S 
mensais  M E~ S A+ IX S 
mensal   M E~ S A+ W 
mensalidade  M E~ S A L I D A+ DJ IX 
mensalidades     M E~ S A L I D A+ DJ IX S 
mensalmente  M E~ S A W M E~+ TJ IX 
mentais  M E~ T A+ IX S 
mental   M E~ T A+ W 
mentalidade  M E~ T A L I D A+ DJ IX 
mentalmente  M E~ T A W M E~+ TJ IX 
mente    M E~+ TJ IX 
mentes   M E~+ TJ IX S 
mentindo     M E~ TJ I~+ D UX 
mentir   M E~ TJ I+ RR 
mentira  M E~ TJ I+ R AX 
mentiras     M E~ TJ I+ R AX S 
mentiroso    M E~ TJ I R O+ Z UX 
mentor   M E~ T O+ RR 
menção   M E~ S A~+ W~ 
mera     M E+ R AX 
meramente    M E R A M E~+ TJ IX 
mercado  M E RR K A+ D UX 
mercadoria   M E RR K A D O R I+ AX 
mercadorias  M E RR K A D O R I+ AX S 
mercados     M E RR K A+ D UX S 
mercenário   M E RR S E N A+ R I UX 
mercenários  M E RR S E N A+ R I UX S 
mercê    M E RR S E+ 
merda    M E+ RR D AX 
merece   M E R E+ S IX 
merecedor    M E R E S E D O+ RR 
merecem  M E R E+ S E~+ I~ 
merecer  M E R E+ S E RR 
mereceu  M E R E S E+ UX 
merecia  M E R E S I+ AX 
mereciam     M E R E S I+ A~+ W~ 
merecido     M E R E S I+ D UX 
mergulhada   M E RR G U LJ A+ D AX 
mergulhado   M E RR G U LJ A+ D UX 
mergulhadores    M E RR G U LJ A D O+ R IX S 
mergulhar    M E RR G U LJ A+ RR 
mergulho     M E RR G U+ LJ UX 
mergulhou    M E RR G U LJ O+ 
mero     M E+ R UX 
mesa     M E+ Z AX 
mesas    M E+ Z AX S 
mescla   M E+ S K L AX 
mesclar  M E S K L A+ RR 
meses    M E+ Z IX S 
mesma    M E+ Z M AX 
mesmas   M E+ Z M AX S 
mesmo    M E+ Z M UX 
mesmos   M E+ Z M UX S 
mesquita     M E S K I+ T AX 
mestrado     M E S T R A+ D UX 
mestre   M E+ S T R IX 
mestres  M E+ S T R IX S 
meta     M E+ T AX 
metade   M E T A+ DJ IX 
metais   M E T A+ IX S 
metal    M E T A+ W 
metalurgia   M E T A L U RR Z I+ AX 
metalúrgica  M E T A L U+ RR Z I K AX 
metalúrgicos     M E T A L U+ RR Z I K UX S 
metamorfose  M E T A M O RR F O+ Z IX 
metas    M E+ T AX S 
mete     M E+ TJ IX 
meteorologia     M E T E O R O L O Z I+ AX 
meteorológicas   M E T E O R O L O+ Z I K AX S 
meteorológico    M E T E O R O L O+ Z I K UX 
meter    M E+ T E RR 
meteu    M E T E+ UX 
meteórica    M E T E O+ R I K AX 
meti     M E TJ I+ 
meticulosamente  M E TJ I K U L O Z A M E~+ TJ IX 
metido   M E TJ I+ D UX 
metodologia  M E T O D O L O Z I+ AX 
metodologias     M E T O D O L O Z I+ AX S 
metragem     M E T R A+ Z E~ I~ 
metralhadora     M E T R A LJ A D O+ R AX 
metro    M E+ T R UX 
metropolitana    M E T R O P O L I T A~+ N AX 
metropolitanas   M E T R O P O L I T A~+ N AX S 
metropolitano    M E T R O P O L I T A~+ N UX 
metros   M E+ T R UX S 
metrópole    M E T R O+ P O L IX 
metrópoles   M E T R O+ P O L IX S 
metrô    M E T R O+ 
metáfora     M E T A+ F O R AX 
metálica     M E T A+ L I K AX 
metálicas    M E T A+ L I K AX S 
metálico     M E T A+ L I K UX 
meu  M E+ UX 
meus     M E+ UX S 
mexe     M E+ SCH IX 
mexendo  M E SCH E~+ D UX 
mexer    M E+ SCH E RR 
mexeu    M E SCH E+ UX 
mexia    M E SCH I+ AX 
mexicano     M E SCH I K A~+ N UX 
mexicanos    M E SCH I K A~+ N UX S 
mi   M I+ 
micro    M I+ K R UX 
microempresa     M I K R O E~ P R E+ Z AX 
microempresas    M I K R O E~ P R E+ Z AX S 
microfone    M I K R O F O+ N IX 
microfones   M I K R O F O+ N IX S 
microscópicas    M I K R O S K O+ P I K AX S 
microsoft    M I K R O Z O+ F TJ IX 
migalhas     M I G A+ LJ AX S 
migratórias  M I G R A T O+ R I AX S 
mil  M I+ W 
milagre  M I L A+ G R IX 
milagres     M I L A+ G R IX S 
milagrosamente   M I L A G R O Z A M E~+ TJ IX 
milanesa     M I L A N E+ Z AX 
milhares     M I LJ A+ R IX S 
milhas   M I+ LJ AX S 
milho    M I+ LJ UX 
milhão   M I LJ A~+ W~ 
milhões  M I LJ O~+ I~ S 
milicianos   M I L I S I A~+ N UX S 
milionária   M I L I O N A+ R I AX 
milionário   M I L I O N A+ R I UX 
militante    M I L I T A~+ TJ IX 
militantes   M I L I T A~+ TJ IX S 
militar  M I L I T A+ RR 
militares    M I L I T A+ R IX S 
militarmente     M I L I T A RR M E~+ TJ IX 
militância   M I L I T A~+ S I AX 
milésimo     M I L E+ Z I M UX 
milênio  M I L E+ N I UX 
milênios     M I L E+ N I UX S 
milícia  M I L I+ S I AX 
milícias     M I L I+ S I AX S 
mim  M I~+ 
min  M I~+ 
mina     M I+ N AX 
minas    M I+ N AX S 
mineira  M I N E+ I R AX 
mineiro  M I N E+ I R UX 
